funs,pkgs,in_multiple_pkgs,contents,urls
mutate,dplyr,FALSE,stratified-sampling-parameter-estimates.R,https://gist.githubusercontent.com/brshallo/e031e73711afd2fff26636bd6091dd58/raw/e28d8a0d4880b7ac7c3a726bb272571c3a623eb5/stratified-sampling-parameter-estimates.R
map,purrr,FALSE,stratified-sampling-parameter-estimates.R,https://gist.githubusercontent.com/brshallo/e031e73711afd2fff26636bd6091dd58/raw/e28d8a0d4880b7ac7c3a726bb272571c3a623eb5/stratified-sampling-parameter-estimates.R
sim_params,(unknown),FALSE,stratified-sampling-parameter-estimates.R,https://gist.githubusercontent.com/brshallo/e031e73711afd2fff26636bd6091dd58/raw/e28d8a0d4880b7ac7c3a726bb272571c3a623eb5/stratified-sampling-parameter-estimates.R
unnest,tidyr,FALSE,stratified-sampling-parameter-estimates.R,https://gist.githubusercontent.com/brshallo/e031e73711afd2fff26636bd6091dd58/raw/e28d8a0d4880b7ac7c3a726bb272571c3a623eb5/stratified-sampling-parameter-estimates.R
pivot_longer,tidyr,FALSE,stratified-sampling-parameter-estimates.R,https://gist.githubusercontent.com/brshallo/e031e73711afd2fff26636bd6091dd58/raw/e28d8a0d4880b7ac7c3a726bb272571c3a623eb5/stratified-sampling-parameter-estimates.R
contains,dplyr,TRUE,stratified-sampling-parameter-estimates.R,https://gist.githubusercontent.com/brshallo/e031e73711afd2fff26636bd6091dd58/raw/e28d8a0d4880b7ac7c3a726bb272571c3a623eb5/stratified-sampling-parameter-estimates.R
ggplot,ggplot,FALSE,stratified-sampling-parameter-estimates.R,https://gist.githubusercontent.com/brshallo/e031e73711afd2fff26636bd6091dd58/raw/e28d8a0d4880b7ac7c3a726bb272571c3a623eb5/stratified-sampling-parameter-estimates.R
aes,ggplot,FALSE,stratified-sampling-parameter-estimates.R,https://gist.githubusercontent.com/brshallo/e031e73711afd2fff26636bd6091dd58/raw/e28d8a0d4880b7ac7c3a726bb272571c3a623eb5/stratified-sampling-parameter-estimates.R
geom_density,ggplot,FALSE,stratified-sampling-parameter-estimates.R,https://gist.githubusercontent.com/brshallo/e031e73711afd2fff26636bd6091dd58/raw/e28d8a0d4880b7ac7c3a726bb272571c3a623eb5/stratified-sampling-parameter-estimates.R
facet_wrap,ggplot,FALSE,stratified-sampling-parameter-estimates.R,https://gist.githubusercontent.com/brshallo/e031e73711afd2fff26636bd6091dd58/raw/e28d8a0d4880b7ac7c3a726bb272571c3a623eb5/stratified-sampling-parameter-estimates.R
library,base,FALSE,grouped-nested-t-test.md,https://gist.githubusercontent.com/brshallo/01496b68adef88a71de1fd44f3712b10/raw/79de1c4a7835db7b671b6cba87914bafcc435bdb/grouped-nested-t-test.md
require,base,FALSE,grouped-nested-t-test.md,https://gist.githubusercontent.com/brshallo/01496b68adef88a71de1fd44f3712b10/raw/79de1c4a7835db7b671b6cba87914bafcc435bdb/grouped-nested-t-test.md
install_github,remotes,FALSE,grouped-nested-t-test.md,https://gist.githubusercontent.com/brshallo/01496b68adef88a71de1fd44f3712b10/raw/79de1c4a7835db7b671b6cba87914bafcc435bdb/grouped-nested-t-test.md
na.omit,stats,FALSE,grouped-nested-t-test.md,https://gist.githubusercontent.com/brshallo/01496b68adef88a71de1fd44f3712b10/raw/79de1c4a7835db7b671b6cba87914bafcc435bdb/grouped-nested-t-test.md
t.test,stats,FALSE,grouped-nested-t-test.md,https://gist.githubusercontent.com/brshallo/01496b68adef88a71de1fd44f3712b10/raw/79de1c4a7835db7b671b6cba87914bafcc435bdb/grouped-nested-t-test.md
tidy,broom,FALSE,grouped-nested-t-test.md,https://gist.githubusercontent.com/brshallo/01496b68adef88a71de1fd44f3712b10/raw/79de1c4a7835db7b671b6cba87914bafcc435bdb/grouped-nested-t-test.md
pull,dplyr,FALSE,grouped-nested-t-test.md,https://gist.githubusercontent.com/brshallo/01496b68adef88a71de1fd44f3712b10/raw/79de1c4a7835db7b671b6cba87914bafcc435bdb/grouped-nested-t-test.md
group_by,dplyr,FALSE,grouped-nested-t-test.md,https://gist.githubusercontent.com/brshallo/01496b68adef88a71de1fd44f3712b10/raw/79de1c4a7835db7b671b6cba87914bafcc435bdb/grouped-nested-t-test.md
summarise,dplyr,FALSE,grouped-nested-t-test.md,https://gist.githubusercontent.com/brshallo/01496b68adef88a71de1fd44f3712b10/raw/79de1c4a7835db7b671b6cba87914bafcc435bdb/grouped-nested-t-test.md
list,base,FALSE,grouped-nested-t-test.md,https://gist.githubusercontent.com/brshallo/01496b68adef88a71de1fd44f3712b10/raw/79de1c4a7835db7b671b6cba87914bafcc435bdb/grouped-nested-t-test.md
