funs,pkgs,relative_paths,urls,absolute_paths
across,dplyr,permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md
starts_with,dplyr,permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md
ifelse,base,permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md
summarise,dplyr,permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md
sum,base,permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md
pluck,purrr,permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md
safely,purrr,permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md
map,purrr,permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md
map_lgl,purrr,permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md
did_safely_error,(unknown),permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md
url_to_units,(unknown),permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md
map_dbl,purrr,permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md
bind_rows,dplyr,permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md
yearquarter,tsibble,permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md,https://gist.githubusercontent.com/brshallo/80401859d428a55967ce0d8bcfe16aee/raw/8d630db530a5c8581a810fc812ee9f4508ef9cab/permits-issued.md
